"","intervention_class","distance_limit","test_rotation","LOD","TAT","iso_lag","total_cases","lci_cases","uci_cases","cases_saved","cases_saved_lci","cases_saved_uci","mean_Reff_reduction","lci_Reff_reduction","uci_Reff_reduction","intervention"
"33","testing","Inf","weekly-testing","1e+05","3","Inf",12207.82,8792.02074104183,15623.6192589582,4721.29,4104.8561380323,5337.7238619677,0.0793499999999661,0,0.431795546973783,"weekly-TAT3-LOD105"
"34","testing","Inf","weekly-testing","1e+05","4","Inf",14948.69,10528.0391358003,19369.3408641997,1980.42,2368.83774327385,1592.00225672614,0.028369500000029,0,0.154647291301272,"weekly-TAT4-LOD105"
"35","testing","Inf","weekly-testing","1e+05","5","Inf",15852.72,11662.2851329698,20043.1548670302,1076.39,1234.59174610438,918.188253895623,0.00735149999998042,0,0.0409160938315605,"weekly-TAT5-LOD105"
"36","testing","Inf","weekly-testing","1e+05","10","Inf",16578.29,12100.8939674205,21055.6860325795,350.82,795.982911653675,-94.3429116536754,7.45000000110796e-05,0,0.000612373745907391,"weekly-TAT10-LOD105"
"37","testing","Inf","every-two-weeks-testing","1e+01","1","Inf",8096.74,6146.97711436238,10046.5028856376,8832.37,6749.89976471175,10914.8402352882,0.221768999999997,0,1.13864956527024,"two-week-TAT1-LOD10"
"38","testing","Inf","every-two-weeks-testing","1e+01","2","Inf",9972.88,7338.41038467059,12607.3496153294,6956.23,5558.46649440355,8353.99350559646,0.151030999999991,0,0.783478738696761,"two-week-TAT2-LOD10"
"39","testing","Inf","every-two-weeks-testing","1e+01","3","Inf",12288.47,8658.85080433582,15918.0891956642,4640.64,4238.02607473832,5043.25392526169,0.0870815000000322,0,0.460746525032199,"two-week-TAT3-LOD10"
"40","testing","Inf","every-two-weeks-testing","1e+01","4","Inf",14112.83,9553.04270459209,18672.6172954079,2816.28,3343.83417448205,2288.72582551795,0.0415644999999794,0,0.227883874020044,"two-week-TAT4-LOD10"
"41","testing","Inf","every-two-weeks-testing","1e+01","5","Inf",15444.26,11563.4838814366,19325.0361185634,1484.85,1333.39299763753,1636.30700236247,0.0149395000000239,0,0.0828803904450535,"two-week-TAT5-LOD10"
"42","testing","Inf","every-two-weeks-testing","1e+01","10","Inf",16779.86,12807.5985691861,20752.1214308139,149.25,89.2783098880682,209.221690111932,3.65000000122073e-05,0,0.00010058498575205,"two-week-TAT10-LOD10"
"43","testing","Inf","every-two-weeks-testing","1e+03","1","Inf",9080.59,7004.40760631453,11156.7723936855,7848.52,5892.46927275961,9804.57072724039,0.190405500000003,0,0.984274172089243,"two-week-TAT1-LOD103"
"44","testing","Inf","every-two-weeks-testing","1e+03","2","Inf",11013.35,8057.73058434275,13968.9694156572,5915.76,4839.14629473138,6992.37370526862,0.119109500000023,0,0.603468800766271,"two-week-TAT2-LOD103"
"45","testing","Inf","every-two-weeks-testing","1e+03","3","Inf",13160.53,9833.26551953376,16487.7944804662,3768.58,3063.61135954037,4473.54864045963,0.0658790000000049,0,0.350997842778497,"two-week-TAT3-LOD103"
"46","testing","Inf","every-two-weeks-testing","1e+03","4","Inf",14771.99,10575.5087449512,18968.4712550488,2157.12,2321.36813412289,1992.87186587711,0.0284749999999769,0,0.150786116598416,"two-week-TAT4-LOD103"
"47","testing","Inf","every-two-weeks-testing","1e+03","5","Inf",15819.75,11620.0921823533,20019.4078176467,1109.36,1276.78469672085,941.935303279148,0.00931050000000777,0,0.0495473978596142,"two-week-TAT5-LOD103"
"48","testing","Inf","every-two-weeks-testing","1e+05","1","Inf",10650.76,7699.12161521141,13602.3983847886,6278.35,5197.75526386273,7358.94473613727,0.127644999999998,0,0.647419633768164,"two-week-TAT1-LOD105"
"49","testing","Inf","every-two-weeks-testing","1e+05","2","Inf",12485.69,8818.80345516263,16152.5765448374,4443.42,4078.0734239115,4808.7665760885,0.0798219999999734,0,0.414328241391035,"two-week-TAT2-LOD105"
"50","testing","Inf","every-two-weeks-testing","1e+05","3","Inf",14445.61,9715.43245862698,19175.787541373,2483.5,3181.44442044715,1785.55557955285,0.0379504999999591,0,0.194942101561118,"two-week-TAT3-LOD105"
"51","testing","Inf","every-two-weeks-testing","1e+05","4","Inf",15740.25,11488.5049225201,19991.9950774799,1188.86,1408.37195655406,969.348043445945,0.0140019999999956,0,0.0746034097443768,"two-week-TAT4-LOD105"
